open,high,low,last,close,volume,date,symbol,exchange
225.855,228.27,225.29,228.075,225.75,19068.0,2020-06-09T15:20:27+0000,AMGN,IEXG
225.855,228.255,225.29,228.08,225.75,17799.0,2020-06-09T15:15:44+0000,AMGN,IEXG
225.855,228.255,225.29,228.255,225.75,17589.0,2020-06-09T15:10:46+0000,AMGN,IEXG
225.855,227.51,225.29,227.4,225.75,16113.0,2020-06-09T15:00:37+0000,AMGN,IEXG
225.855,227.51,225.29,227.43,225.75,16013.0,2020-06-09T15:00:00+0000,AMGN,IEXG
223.27,226.25,221.75,225.75,225.67,2266036.0,2020-06-09T00:00:00+0000,AMGN,IEXG
223.38,226.19,221.79,225.36,225.67,70312.0,2020-06-08T19:55:52+0000,AMGN,IEXG
223.38,226.19,221.79,225.55,225.67,69931.0,2020-06-08T19:55:01+0000,AMGN,IEXG
223.38,226.19,221.79,225.495,225.67,67312.0,2020-06-08T19:50:00+0000,AMGN,IEXG
223.38,226.19,221.79,225.3,225.67,66667.0,2020-06-08T19:45:42+0000,AMGN,IEXG
223.38,226.19,221.79,225.15,225.67,66013.0,2020-06-08T19:40:32+0000,AMGN,IEXG
223.38,226.19,221.79,225.145,225.67,65730.0,2020-06-08T19:40:01+0000,AMGN,IEXG
223.38,226.19,221.79,224.9,225.67,64634.0,2020-06-08T19:35:33+0000,AMGN,IEXG
223.38,226.19,221.79,224.895,225.67,63744.0,2020-06-08T19:30:48+0000,AMGN,IEXG
223.38,226.19,221.79,224.93,225.67,63536.0,2020-06-08T19:30:00+0000,AMGN,IEXG
223.38,226.19,221.79,224.8,225.67,63102.0,2020-06-08T19:25:51+0000,AMGN,IEXG
223.38,226.19,221.79,225.165,225.67,61137.0,2020-06-08T19:15:22+0000,AMGN,IEXG
223.38,226.19,221.79,225.22,225.67,61034.0,2020-06-08T19:15:01+0000,AMGN,IEXG
223.38,226.19,221.79,225.295,225.67,60475.0,2020-06-08T19:10:48+0000,AMGN,IEXG
223.38,226.19,221.79,225.36,225.67,60038.0,2020-06-08T19:05:26+0000,AMGN,IEXG
223.38,226.19,221.79,225.79,225.67,59161.0,2020-06-08T19:00:20+0000,AMGN,IEXG
223.38,226.12,221.79,225.905,225.67,58039.0,2020-06-08T18:50:28+0000,AMGN,IEXG
223.38,226.12,221.79,225.85,225.67,57407.0,2020-06-08T18:45:56+0000,AMGN,IEXG
223.38,225.915,221.79,225.79,225.67,56249.0,2020-06-08T18:35:58+0000,AMGN,IEXG
223.38,225.915,221.79,225.7,225.67,55334.0,2020-06-08T18:30:38+0000,AMGN,IEXG
223.38,225.915,221.79,225.71,225.67,54544.0,2020-06-08T18:25:36+0000,AMGN,IEXG
223.38,225.915,221.79,225.79,225.67,53743.0,2020-06-08T18:15:14+0000,AMGN,IEXG
223.38,225.915,221.79,225.915,225.67,53533.0,2020-06-08T18:10:29+0000,AMGN,IEXG
223.38,225.895,221.79,225.76,225.67,53233.0,2020-06-08T18:05:43+0000,AMGN,IEXG
223.38,225.895,221.79,225.5,225.67,52590.0,2020-06-08T18:00:35+0000,AMGN,IEXG
223.38,225.895,221.79,225.59,225.67,52490.0,2020-06-08T18:00:00+0000,AMGN,IEXG
223.38,225.895,221.79,225.45,225.67,52059.0,2020-06-08T17:55:09+0000,AMGN,IEXG
223.38,225.895,221.79,225.68,225.67,51374.0,2020-06-08T17:50:41+0000,AMGN,IEXG
223.38,225.895,221.79,225.565,225.67,50874.0,2020-06-08T17:45:38+0000,AMGN,IEXG
223.38,225.895,221.79,225.81,225.67,50574.0,2020-06-08T17:40:21+0000,AMGN,IEXG
