low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,symbol,exchange,date
138.6,139.4,109877.0,,,139.4,,,1.0,AENA.BMEX,BMEX,2020-12-07T00:00:00
140.3,141.8,216067.0,,,141.8,,,1.0,AENA.BMEX,BMEX,2020-12-04T00:00:00
136.4,142.0,411813.0,,,142.0,,,1.0,AENA.BMEX,BMEX,2020-12-03T00:00:00
139.4,140.1,357907.0,,,140.1,,,1.0,AENA.BMEX,BMEX,2020-12-02T00:00:00
139.2,141.0,355500.0,,,141.0,,,1.0,AENA.BMEX,BMEX,2020-12-01T00:00:00
136.6,136.6,644715.0,,,136.6,,,1.0,AENA.BMEX,BMEX,2020-11-30T00:00:00
141.2,143.8,140956.0,,,143.8,,,1.0,AENA.BMEX,BMEX,2020-11-27T00:00:00
143.9,143.9,169897.0,,,143.9,,,1.0,AENA.BMEX,BMEX,2020-11-26T00:00:00
143.0,144.2,347760.0,,,144.2,,,1.0,AENA.BMEX,BMEX,2020-11-25T00:00:00
146.1,147.0,197264.0,,,147.0,,,1.0,AENA.BMEX,BMEX,2020-11-24T00:00:00
146.5,146.7,160298.0,,,146.7,,,1.0,AENA.BMEX,BMEX,2020-11-23T00:00:00
142.8,145.5,156619.0,,,145.5,,,1.0,AENA.BMEX,BMEX,2020-11-20T00:00:00
141.0,143.0,429217.0,,,143.0,,,1.0,AENA.BMEX,BMEX,2020-11-19T00:00:00
144.2,144.2,177785.0,,,144.2,,,1.0,AENA.BMEX,BMEX,2020-11-18T00:00:00
143.9,146.1,371124.0,,,146.1,,,1.0,AENA.BMEX,BMEX,2020-11-17T00:00:00
143.4,145.9,242772.0,,,145.9,,,1.0,AENA.BMEX,BMEX,2020-11-16T00:00:00
139.5,141.6,155815.0,,,141.6,,,1.0,AENA.BMEX,BMEX,2020-11-13T00:00:00
141.0,141.0,571399.0,,,141.0,,,1.0,AENA.BMEX,BMEX,2020-11-12T00:00:00
139.7,144.0,515631.0,,,144.0,,,1.0,AENA.BMEX,BMEX,2020-11-11T00:00:00
140.2,148.2,1012292.0,,,148.2,,,1.0,AENA.BMEX,BMEX,2020-11-10T00:00:00
124.7,141.2,566434.0,,,141.2,,,1.0,AENA.BMEX,BMEX,2020-11-09T00:00:00
122.5,122.9,121893.0,,,122.9,,,1.0,AENA.BMEX,BMEX,2020-11-06T00:00:00
125.1,125.1,168433.0,,,125.1,,,1.0,AENA.BMEX,BMEX,2020-11-05T00:00:00
120.1,124.9,634001.0,,,124.9,,,1.0,AENA.BMEX,BMEX,2020-11-04T00:00:00
120.9,123.4,198675.0,,,123.4,,,1.0,AENA.BMEX,BMEX,2020-11-03T00:00:00
113.0,120.0,215856.0,,,120.0,,,1.0,AENA.BMEX,BMEX,2020-11-02T00:00:00
111.3,115.6,230401.0,,,115.6,,,1.0,AENA.BMEX,BMEX,2020-10-30T00:00:00
111.1,114.2,198789.0,,,114.2,,,1.0,AENA.BMEX,BMEX,2020-10-29T00:00:00
111.7,114.3,389294.0,,,114.3,,,1.0,AENA.BMEX,BMEX,2020-10-28T00:00:00
118.8,118.8,251681.0,,,118.8,,,1.0,AENA.BMEX,BMEX,2020-10-27T00:00:00
120.6,120.9,121971.0,,,120.9,,,1.0,AENA.BMEX,BMEX,2020-10-26T00:00:00
122.3,125.4,472197.0,,,125.4,,,1.0,AENA.BMEX,BMEX,2020-10-23T00:00:00
119.0,122.6,130744.0,,,122.6,,,1.0,AENA.BMEX,BMEX,2020-10-22T00:00:00
120.5,121.4,173501.0,,,121.4,,,1.0,AENA.BMEX,BMEX,2020-10-21T00:00:00
118.9,126.0,314083.0,,,126.0,,,1.0,AENA.BMEX,BMEX,2020-10-20T00:00:00
117.5,120.6,192371.0,,,120.6,,,1.0,AENA.BMEX,BMEX,2020-10-19T00:00:00
115.8,116.4,187227.0,,,116.4,,,1.0,AENA.BMEX,BMEX,2020-10-16T00:00:00
116.6,119.0,171099.0,,,119.0,,,1.0,AENA.BMEX,BMEX,2020-10-15T00:00:00
114.9,120.8,270553.0,,,120.8,,,1.0,AENA.BMEX,BMEX,2020-10-14T00:00:00
116.7,116.7,185790.0,,,116.7,,,1.0,AENA.BMEX,BMEX,2020-10-13T00:00:00
120.0,120.7,107439.0,,,120.7,,,1.0,AENA.BMEX,BMEX,2020-10-12T00:00:00
119.6,120.6,188158.0,,,120.6,,,1.0,AENA.BMEX,BMEX,2020-10-09T00:00:00
120.9,120.9,125399.0,,,120.9,,,1.0,AENA.BMEX,BMEX,2020-10-08T00:00:00
119.8,120.2,124231.0,,,120.2,,,1.0,AENA.BMEX,BMEX,2020-10-07T00:00:00
119.0,122.6,163742.0,,,122.6,,,1.0,AENA.BMEX,BMEX,2020-10-06T00:00:00
117.5,118.8,118333.0,,,118.8,,,1.0,AENA.BMEX,BMEX,2020-10-05T00:00:00
113.9,116.5,167903.0,,,116.5,,,1.0,AENA.BMEX,BMEX,2020-10-02T00:00:00
115.5,116.1,217920.0,,,116.1,,,1.0,AENA.BMEX,BMEX,2020-10-01T00:00:00
115.4,119.3,338129.0,,,119.3,,,1.0,AENA.BMEX,BMEX,2020-09-30T00:00:00
115.8,117.2,124674.0,,,117.2,,,1.0,AENA.BMEX,BMEX,2020-09-29T00:00:00
115.5,118.3,581570.0,,,118.3,,,1.0,AENA.BMEX,BMEX,2020-09-28T00:00:00
112.4,115.6,512616.0,,,115.6,,,1.0,AENA.BMEX,BMEX,2020-09-25T00:00:00
111.7,114.2,223043.0,,,114.2,,,1.0,AENA.BMEX,BMEX,2020-09-24T00:00:00
113.2,114.3,211408.0,,,114.3,,,1.0,AENA.BMEX,BMEX,2020-09-23T00:00:00
111.6,113.9,301756.0,,,113.9,,,1.0,AENA.BMEX,BMEX,2020-09-22T00:00:00
110.9,113.0,210399.0,,,113.0,,,1.0,AENA.BMEX,BMEX,2020-09-21T00:00:00
117.3,119.1,421906.0,,,119.1,,,1.0,AENA.BMEX,BMEX,2020-09-18T00:00:00
118.0,123.0,173309.0,,,123.0,,,1.0,AENA.BMEX,BMEX,2020-09-17T00:00:00
